stream,department,job_role,company_level,company_name,location,required_skills,cgpa_range
Engineering,EEE,Maintenance Engineer,Startup,Nykaa,Chennai,Electrical Maintenance,5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Vedantu,Hyderabad,Construction Safety,5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,CRED,Ahmedabad,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Quantiphi,Gurgaon,"Sensors, MQTT",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,Dunzo,Coimbatore,Manufacturing Processes,5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,CRED,Gurgaon,"AWS, Azure, Linux",5.0 - 6.4
Engineering,EEE,Power Systems Engineer,Startup,Practo,Noida,Power Generation,5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,Innovaccer,Mumbai,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,ECE,Embedded Engineer,Startup,PolicyBazaar,Pune,"C, Embedded Systems",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,Ola Electric,Pune,Manufacturing Processes,5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,Chargebee,Coimbatore,Electrical Maintenance,5.0 - 6.4
Engineering,ECE,VLSI Engineer,Startup,CRED,Mumbai,"VHDL, Verilog",5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,Ninjacart,Ahmedabad,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Ninjacart,Mumbai,Construction Safety,5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,InMobi,Ahmedabad,Manufacturing Processes,5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,Tredence,Gurgaon,"Networking, Routing",5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,Byjus,Coimbatore,"SQL, Python",5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,Swiggy,Ahmedabad,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Innovaccer,Hyderabad,"Deep Learning, NLP",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,CRED,Kolkata,"ETABS, STAAD",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Udaan,Gurgaon,"ETABS, STAAD",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Nykaa,Noida,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,Slice,Coimbatore,"MS Project, Primavera",5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,Mu Sigma,Hyderabad,"AWS, Azure, Linux",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Byjus,Coimbatore,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Navi,Noida,Plant Maintenance,5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,BigBasket,Noida,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,Vedantu,Noida,Electrical Maintenance,5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Delhivery,Mumbai,"ETABS, STAAD",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Vedantu,Mumbai,Plant Maintenance,5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Urban Company,Bengaluru,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Digit Insurance,Mumbai,"PLC, SCADA",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Groww,Chennai,"Estimation, Billing",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Slice,Chennai,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,Digit Insurance,Ahmedabad,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,GreyOrange,Kolkata,"CATIA, NX",5.0 - 6.4
Engineering,EEE,Power Systems Engineer,Startup,Postman,Mumbai,Power Generation,5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Quantiphi,Kolkata,"CATIA, NX",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Mu Sigma,Ahmedabad,Plant Maintenance,5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Groww,Chennai,Construction Safety,5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Zetwerk,Bengaluru,"Deep Learning, NLP",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Tredence,Gurgaon,"CATIA, NX",5.0 - 6.4
